source,target,value
Business Taxes,General Fund,957140000.0
Business Taxes,Special Revenue Funds,556670000.0
Charges for Services,Component Units,311000.0
Charges for Services,Enterprise Funds,3446860624.0
Charges for Services,General Fund,255110935.0
Charges for Services,Internal Service Funds,632609.0
Charges for Services,Private Purpose Trust Fund,2953402.0
Charges for Services,Special Revenue Funds,116401214.0
Contributions Ret/HSS/HlthCare,"Pension, Other Employee and Ot",39523718.0
Expenditure Recovery,Component Units,100000.0
Expenditure Recovery,Enterprise Funds,160373729.0
Expenditure Recovery,General Fund,594421165.0
Expenditure Recovery,Internal Service Funds,169009801.0
Expenditure Recovery,"Pension, Other Employee and Ot",110000.0
Expenditure Recovery,Special Revenue Funds,266192373.0
"Fines, Forfeiture, & Penalties",Debt Service Funds,18406400.0
"Fines, Forfeiture, & Penalties",Enterprise Funds,113250159.0
"Fines, Forfeiture, & Penalties",General Fund,4034532.0
"Fines, Forfeiture, & Penalties",Special Revenue Funds,11335028.0
Interest & Investment Income,Capital Projects Funds,2292978.0
Interest & Investment Income,Enterprise Funds,32394612.0
Interest & Investment Income,General Fund,36247329.0
Interest & Investment Income,Investment Trust Fund,81000.0
Interest & Investment Income,"Pension, Other Employee and Ot",400000.0
Interest & Investment Income,Permanent Fund,15000.0
Interest & Investment Income,Private Purpose Trust Fund,419471.0
Interest & Investment Income,Special Revenue Funds,4086812.0
Intergovernmental: Federal,Enterprise Funds,309355357.0
Intergovernmental: Federal,General Fund,359612475.0
Intergovernmental: Federal,Private Purpose Trust Fund,2920972.0
Intergovernmental: Federal,Special Revenue Funds,247127333.0
Intergovernmental: Other,Capital Projects Funds,630000.0
Intergovernmental: Other,Enterprise Funds,126727381.0
Intergovernmental: Other,General Fund,2781041.0
Intergovernmental: Other,Internal Service Funds,41126.0
Intergovernmental: Other,Special Revenue Funds,4021966.0
Intergovernmental: State,Capital Projects Funds,207000.0
Intergovernmental: State,Debt Service Funds,800000.0
Intergovernmental: State,Enterprise Funds,126028045.0
Intergovernmental: State,General Fund,854372018.0
Intergovernmental: State,Investment Trust Fund,99157603.0
Intergovernmental: State,Special Revenue Funds,177712608.0
Intrafund Transfers In,Enterprise Funds,678950200.0
Intrafund Transfers In,General Fund,743227512.0
Intrafund Transfers In,Internal Service Funds,1200000.0
Intrafund Transfers In,Special Revenue Funds,57522118.0
"Licenses, Permits,& Franchises",Enterprise Funds,19412844.0
"Licenses, Permits,& Franchises",General Fund,27944010.0
"Licenses, Permits,& Franchises",Special Revenue Funds,9233752.0
